72184-1-entrytone|ᎠᏧᏣ|Achű:ja.|Boy
72184-1-nounadjpluraltone|ᎠᏂᏧᏣ|Ani:chű:ja.|Boy (plural)
72185-1-entrytone|ᎠᏨᏯ|Achv:ya.|Male (animal)
72185-1-nounadjpluraltone|ᎠᏂᏨᏯ|Ani:chv:ya.|Male (animal) (plural)
72186-1-entrytone|ᎠᏓ|Ada.|Wood
72187-1-entrytone|ᎠᏓ|A̋ɂda.|Young animal (animal born in litter or hatched)
72187-1-nounadjpluraltone|ᎠᏂᏓ|Ani̋:da.|Young animal (animal born in litter or hatched) (plural)
72188-1-entrytone|ᎠᏓᏕᎦ|À:dadé:ga.|It is bouncing
72188-1-vfirstprestone|ᎦᏓᏕᎦ|Gadadé:ga.|I am bouncing (I am...)
72188-1-vsecondimpertone|ᎭᏓᏚᎦ|Hadadù:ga.|Let you be bouncing (Let you...)
72188-1-vthirdinftone|ᎤᏓᏗᏅᏗ|U:dadǐ:nv̂:di.|For him to be bouncing (For him to...)
72188-1-vthirdpasttone|ᎤᏓᏗᏅᏒᎢ|Ù:dadǐ:nv̂:sv̌:ɂi.|He did bounc (He did...a while ago)
72188-1-vthirdprestone|ᎠᏓᏕᎪᎢ|À:dadé:gó:ɂi.|It is usually bouncing (He usually...)
72189-1-entrytone|ᎠᏓᏕᎦ|À:dadé:ga.|He is limping
72189-1-vfirstprestone|ᎦᏓᏕᎦ|Gadadé:ga.|I am limping (I am...)
72189-1-vsecondimpertone|ᎭᏓᏚᎦ|Hadadù:ga.|Let you be limping (Let you...)
72189-1-vthirdinftone|ᎤᏓᏗᏅᏗ|U:dadǐ:nv̂:di.|For him to be limping (For him to...)
72189-1-vthirdpasttone|ᎤᏓᏕᏒᎢ|Ù:dadé:sv̌:ɂi.|He did limp (He did...a while ago)
72189-1-vthirdprestone|ᎠᏓᏕᎪᎢ|À:da:dé:gó:ɂi.|He is usually limping (He usually...)
72190-1-entrytone|ᎠᏓᏗᏅᏗᎭ|À:dadǐ:nv̂:diha.|He is bouncing it
72190-1-vfirstprestone|ᎦᏓᏗᏅᏗᎭ|Gadadǐ:nv̂:diha.|I am bouncing it (I am...)
72190-1-vsecondimpertone|ᎭᏓᏗᏅᏓ|Hadadǐ:nv̀:da.|Let you be bouncing it (Let you...)
72190-1-vthirdinftone|ᎤᏓᏗᏅᏙᏗ|U:dadǐ:nv̂:dohdi.|For him to be bouncing it (For him to...)
72190-1-vthirdpasttone|ᎤᏓᏗᏅᏔᏅᎢ|Ù:dadǐ:nv̂:tanv̌:ɂi.|He did bounc it (He did...a while ago)
72190-1-vthirdprestone|ᎠᏓᏗᏅᏗᏍᎪᎢ|À:da:dǐ:nv̂:di:sgó:ɂi.|He is usually bouncing it (He usually...)
72191-1-entrytone|ᎠᏓᏠᎯᎭ|À:dá:dlo:híha.|He is putting on a belt
72191-1-vfirstprestone|ᎦᏓᏠᎯᎭ|Gadá:dlo:híha.|I am putting on a belt (I am...)
72191-1-vsecondimpertone|ᎭᏓᏠᎦ|Hadà:dlǒ:ga.|Let you be putting on a belt (Let you...)
72191-1-vthirdinftone|ᎤᏓᏠᏍᏗ|U:dà:dlǒ:sdi.|For him to be putting on a belt (For him to...)
72191-1-vthirdpasttone|ᎤᏓᏠᏢᎢ|Ù:dá:dlo:hlv̌:i.|He did putt on a belt (He did...a while ago)
72191-1-vthirdprestone|ᎠᏓᏠᎯᎰᎢ|À:dá:dlǒ:hi:hó:ɂi.|He is usually putting on a belt (He usually...)
72192-1-entrytone|ᎠᏓᏠᏍᏗ|Adà:dlǒ:sdi.|Belt
72192-1-nounadjpluraltone|ᏗᏓᏠᏍᏗ|Di:dà:dlǒ:sdi.|Belt (plural)
72193-1-entrytone|ᎠᏓᏙᎵᏍᏗ|Ada:dǒ:lî:sdi.|Prayer
72194-1-entrytone|ᎠᏓᏙᎵᏍᏗᎭ|À:da:dǒ:lî:sdiha.|He is praying
72194-1-vfirstprestone|ᎦᏓᏙᎵᏍᏗᎭ|Gada:dǒ:lî:sdiha.|I am praying (I am...)
72194-1-vsecondimpertone|ᎭᏓᏙᎵᏍᏓ|Hada:do:lì:sda.|Let you be praying (Let you...)
72194-1-vthirdinftone|ᎤᏓᏙᎵᏍᏙᏗ|U:da:dǒ:lî:sdohdi.|For him to be praying (For him to...)
72194-1-vthirdpasttone|ᎤᏓᏙᎵᏍᏔᏅᎢ|Ù:da:dǒ:lî:stanv̌:ɂi.|He did pray (He did...a while ago)
72194-1-vthirdprestone|ᎠᏓᏙᎵᏍᏗᏍᎪᎢ|À:da:dǒ:lî:sdi:sgó:ɂi.|He is usually praying (He usually...)
72195-1-entrytone|ᎠᏓᎨᎢ|Ádage̋:ɂi.|1. tender  2. very young, new
72195-1-nounadjpluraltone|ᎠᏂᏓᎨᎢ|Aní:dage̋:ɂi.|1. tender  2. very young, new (plural)
72196-1-entrytone|ᎠᏓᎨᏳᏗ|Ada:geyhdi.|Love
72197-1-entrytone|ᎠᏓᎯᎯ|Adǎ:hihi.|Thing that kills
72197-1-nounadjpluraltone|ᎠᎾᏓᎯᎯ|Anadǎ:hihi.|Thing that kills (plural)
72198-1-entrytone|ᎠᏓᏟᏁᏌᎵᏗ|Ada:hliné:sahldi.|Purse
72198-1-nounadjpluraltone|ᏗᏓᏟᏁᏌᎵᏗ|Di:da:hliné:sahldi.|Purse (plural)
72199-1-entrytone|ᎠᏓᏁᏗ|Adǎ:hnehdi.|Gift
72199-1-nounadjpluraltone|ᏗᏓᏁᏗ|Di:dǎ:hnehdi.|Gift (plural)
72200-1-entrytone|ᎠᏓᏃᏰᎭ|À:dahnó:yeha.|He is fanning himself
72200-1-vfirstprestone|ᎦᏓᏃᏰᎭ|Gadà:nó:yeha.|I am fanning myself (I am...)
72200-1-vsecondimpertone|ᎭᏓᏃᏴᎳ|Hadahno:yv̌:la.|Let you be fanning himself (Let you...)
72200-1-vthirdinftone|ᎤᏓᏃᏰᏗ|U:dahnó:yéhdi.|For him to be fanning himself (For him to...)
72200-1-vthirdpasttone|ᎤᏓᏃᏰᎲᎢ|Ù:dahnó:yehv̌:ɂi.|He did fann himself (He did...a while ago)
72200-1-vthirdprestone|ᎠᏓᏃᏰᏍᎪᎢ|À:dahnó:ye:sgó:ɂi.|He is usually fanning himself (He usually...)
72201-1-entrytone|ᎠᏓᏃᏲ|Adahno:yo.|Fan
72201-1-nounadjpluraltone|ᏗᏓᏃᏲ|Di:dahno:yo.|Fan (plural)
72202-1-entrytone|ᎠᏓᏩᏛᎯᏙᎭ|À:da:hwahtv:hǐ:dô:ha.|He is visiting
72202-1-vfirstprestone|ᎦᏓᏩᏛᎯᏙᎭ|Ga:dà:wahtv:hǐ:dô:ha.|I am visiting (I am...)
72202-1-vsecondimpertone|ᎭᏓᏩᏛᎯᏓ|Hada:hwahtv:hi:da.|Let you be visiting (Let you...)
72202-1-vthirdinftone|ᎤᏓᏩᏛᎯᏓᏍᏗ|U:da:hwahtv:hǐ:dâ:sdi.|For him to be visiting (For him to...)
72202-1-vthirdpasttone|ᎤᏓᏩᏛᎯᏙᎸᎢ|Ù:da:hwahtv:hǐ:dô:lv̌:i.|He did visit (He did...a while ago)
72202-1-vthirdprestone|ᎠᏓᏩᏛᎯᏙᎰᎢ|À:da:hwahtv:hǐ:dô:hó:ɂi.|He is usually visiting (He usually...)
72203-1-entrytone|ᎠᏓᏯᏍᏗᎭ|À:da:hyâ:sdiha.|He is stretching
72203-1-vfirstprestone|ᎦᏓᏯᏍᏗᎭ|Gadà:yâ:sdiha.|I am stretching (I am...)
72203-1-vsecondimpertone|ᎭᏓᏯᏍᏓ|Hada:hyà:sda.|Let you be stretching (Let you...)
72203-1-vthirdinftone|ᎤᏓᏯᏍᏙᏗ|U:da:hyà:sdóhdi.|For him to be stretching (For him to...)
72203-1-vthirdpasttone|ᎤᏓᏯᏍᏔᏅᎢ|Ù:da:hyâ:stanv̌:ɂi.|He did stretch (He did...a while ago)
72203-1-vthirdprestone|ᎠᏓᏯᏍᏗᏍᎪᎢ|À:da:hyâ:sdi:sgó:ɂi.|He is usually stretching (He usually...)
72204-1-entrytone|ᎠᏓᏰᏍᎩ|Ada:hye̋:sgi.|Cancer
72205-1-entrytone|ᎠᏓᏱᎭ|À:dahyíha.|He is denying him, it
72205-1-vfirstprestone|ᏥᏯᏓᏱᎭ|Ji:yadaɂyíha.|I am denying him, it (I am...)
72205-2-vfirstprestone|ᎦᏓᏱᎭ|Gadaɂyíha.|I am denying him, it (I am...)
72205-1-vsecondimpertone|ᎯᏯᏓᏱᎦ|Hi:yadayì:ga.|Let you be denying him, it (Let you...)
72205-2-vsecondimpertone|ᎭᏓᏴᎦ|Ha:dayhga.|Let you be denying him, it (Let you...)
72205-1-vthirdinftone|ᎤᏓᏴᏍᏗ|U:dayhsdi.|For him to be denying him, it (For him to...)
72205-1-vthirdpasttone|ᎤᏓᏱᎸᎢ|Ù:dahyilv̌:ɂi.|He did deny him, it (He did...a while ago)
72205-1-vthirdprestone|ᎠᏓᏱᎰᎢ|À:dahyihó:ɂi.|He is usually denying him, it (He usually...)
72206-1-entrytone|ᎠᏓᏲᏁᎭ|À:da:hyó:neha.|He is committing adultery
72206-1-vfirstprestone|ᎦᏓᏲᏁᎭ|Gadà:yó:neha.|I am committing adultery (I am...)
72206-1-vsecondimpertone|ᎭᏓᏲᏅᎳ|Hada:hyo:nv̌:la.|Let you be committing adultery (Let you...)
72206-1-vthirdinftone|ᎤᏓᏲᏁᏗ|U:da:hyo:néhdi.|For him to be committing adultery (For him to...)
72206-1-vthirdpasttone|ᎤᏓᏲᏁᎸᎢ|Ù:da:hyó:ne:lv̌:ɂi.|He did committ adultery (He did...a while ago)
72206-1-vthirdprestone|ᎠᏓᏲᏁᎰᎢ|À:da:hyó:nehó:ɂi.|He is usually committing adultery (He usually...)
72207-1-entrytone|ᎠᏓᏲᏁᏗ|Ada:hyo:néhdi.|Adultery
72208-1-entrytone|ᎠᏓᏲᏁᎯ|Ada:hyo:ne̋:hi.|Adulterer
72208-1-nounadjpluraltone|ᏗᎾᏓᏲᏁᎯ|Di:nada:hyo:ne̋:hi.|Adulterer (plural)
72209-1-entrytone|ᎠᏓᏣᎦᎵᎭ|À:da:jagalíha.|It is ripping
72209-1-vfirstprestone|ᎦᏓᏣᎦᎵᎠ|Gada:jagalía.|I am ripping (I am...)
72209-1-vsecondimpertone|ᎭᏓᏣᎦᎳ|Hadajagala.|Let you be ripping (Let you...)
72209-1-vthirdinftone|ᎤᏓᏣᎦᎵᏗ|U:da:jagahldi.|For him to be ripping (For him to...)
72209-1-vthirdpasttone|ᎤᏓᏣᎦᎸᎲᎢ|Ù:da:jagalv:hv̌:ɂi.|He did ripp (He did...a while ago)
72209-1-vthirdprestone|ᎠᏓᏣᎦᎵᏍᎪᎢ|À:da:jagalǐ:sgóɂi.|It is usually ripping (He usually...)
72210-1-entrytone|ᎠᏓᏨᎢᏍᎩ|Ada:jv̋ysgi.|Something that stings
72210-1-nounadjpluraltone|ᎠᎾᏓᏨᎢᏍᎩ|Anada:jv̋ysgi.|Something that stings (plural)
72211-1-entrytone|ᎠᏓᎨᎭ|À:da:kéha.|He is looking at himself in a mirror
72211-1-vfirstprestone|ᎦᏓᎨᎭ|Gadà:kéha.|I am looking at myself in a mirror (I am...)
72211-1-vsecondimpertone|ᎭᏓᎬᎳ|Hada:kv̌:la.|Let you be looking at himself in a mirror (Let you...)
72211-1-vthirdinftone|ᎤᏓᎨᏗ|U:da:kéhdi.|For him to be looking at himself in a mirror (For him to...)
72211-1-vthirdpasttone|ᎤᏓᎨᎲᎢ|Ù:da:kě:hv́:ɂi.|He did look at himself in a mirror (He did...a while ago)
72211-1-vthirdprestone|ᎠᏓᎨᏍᎪᎢ|À:da:kě:sgóɂi.|He is usually looking at himself in a mirror (He usually...)
72212-1-entrytone|ᎠᏓᎨᏗ|Ada:kéhdi.|Mirror
72212-1-nounadjpluraltone|ᏗᏓᎨᏗ|Di:da:kéhdi.|Mirror (plural)
72213-1-entrytone|ᎠᏓᎴᏂᎭ|À:dale:níha.|It is beginning
72213-1-vthirdinftone|ᎤᏓᎴᏅᏗ|U:dalenhdi.|For him to be beginning (For him to...)
72213-1-vthirdpasttone|ᎤᏓᎴᏅᎲᎢ|Ù:dale:nv:hv̌:ɂi.|He did beginn (He did...a while ago)
72213-1-vthirdprestone|ᎠᏓᎴᏂᏍᎪᎢ|À:dale:nǐ:sgóɂi.|It is usually beginning (He usually...)
72214-1-entrytone|ᎠᏓᎾᏁᏒᎲᏍᎦ|À:da:na:né:sv:hv́sga.|He is shopping
72214-1-vfirstprestone|ᎦᏓᎾᏁᏒᎲᏍᎦ|Gada:nané:sv:hv́sga.|I am shopping (I am...)
72214-1-vsecondimpertone|ᎭᏓᎾᏁᏒᎲᎦ|Hada:nanè:sv:hv̀:ga.|Let you be shopping (Let you...)
72214-1-vthirdinftone|ᎤᏓᎾᏁᏒᎲᏍᏗ|U:da:nanè:sv̌:hv́sdi.|For him to be shopping (For him to...)
72214-1-vthirdpasttone|ᎤᏓᎾᏁᏒᏅᎢ|Ù:da:nané:sv:hnv̌:ɂi.|He did shopp (He did...a while ago)
72214-1-vthirdprestone|ᎠᏓᎾᏁᏒᎲᏍᎪᎢ|À:da:nanè:sv:hv̀:sgó:ɂi.|He is usually shopping (He usually...)
72215-1-entrytone|ᎠᏓᎾᏅᎢ|À:da:náɂnv̋:ɂi.|Store
72215-1-nounadjpluraltone|ᏓᏓᎾᏅᎢ|Dà:da:náɂnv̋:i.|Store (plural)
72216-1-entrytone|ᎠᏓᎾᏩᏍᏗᎭ|À:danâwsdíha.|He is taking off running
72216-1-vfirstprestone|ᎦᏓᎾᏩᏍᏗᎭ|Gadanâwsdíha.|I am taking off running (I am...)
72216-1-vsecondimpertone|ᎭᏓᎾᏩᏍᏓ|Hadanàwsda.|Let you be taking off running (Let you...)
