"id","entrytone","nounadjpluraltone","vfirstprestone","vsecondimpertone","vthirdinftone","vthirdpasttone","vthirdprestone","definitiond"
72181,"a-","","","","","","","third person animate (see Gram. II, A)"
72182,"a-","","","","","","","third person subject (see Gram. I, B)"
72183,"-a","","","","","","","present tense (see Gram. I, D)"
72184,"a.2chu4ja","a.2ni2chu4ja","","","","","","boy"
72185,"a.2chv2ya","a.2ni2chv2ya","","","","","","male (animal)"
72186,"a.2da","","","","","","","wood"
72187,"a.?4da","a.2ni4da","","","","","","young animal (animal born in litter or hatched)"
72188,"a1da.2de3ga","","ga.2da.2de3ga","ha.2da.2du1ga","u2da.2di23nv32di","u1da.2di23nv32sv23?i","a1da.2de3go3?i","it's bouncing"
72189,"a1da.2de3ga","","ga.2da.2de3ga","ha.2da.2du1ga","u2da.2di23nv32di","u1da.2de3sv23?i","a1da2de3go3?i","he's limping"
72190,"a1da.2di23nv32di.2ha","","ga.2da.2di23nv32di.2ha","ha.2da.2di23nv1da","u2da.2di23nv32doh2di","u1da.2di23nv32ta.2nv23?i","a1da2di23nv32di2sgo3?i","he's bouncing it"
72191,"a1da3dlo2hi.3ha","","ga.2da3dlo2hi.3ha","ha.2da1dlo23ga","u2da1dlo23sdi","u1da3dlo2hlv23i","a1da3dlo23hi2ho3?i","he's putting on a belt"
72192,"a.2da1dlo23sdi","di2da1dlo23sdi","","","","","","belt"
72193,"a.2da2do23li32sdi","","","","","","","prayer"
72194,"a1da2do23li32sdi.2ha","","ga.2da2do23li32sdi.2ha","ha.2da2do2li1sda","u2da2do23li32sdoh2di","u1da2do23li32sta.2nv23?i","a1da2do23li32sdi2sgo3?i","he's praying"
72195,"a.3da.2ge4?i","a.2ni3da.2ge4?i","","","","","","1. tender  2. very young, new"
72196,"a.2da2geyh2di","","","","","","","love"
72197,"a.2da23hi.2hi","a.2na.2da23hi.2hi","","","","","","thing that kills"
72198,"a.2da2hli.2ne3sahl2di","di2da2hli.2ne3sahl2di","","","","","","purse"
72199,"a.2da23hneh2di","di2da23hneh2di","","","","","","gift"
72200,"a1da.2hno3ye.2ha","","ga.2da1no3ye.2ha","ha.2da.2hno2yv23la","u2da.2hno3yeh3di","u1da.2hno3ye.2hv23?i","a1da.2hno3ye2sgo3?i","he's fanning himself"
72201,"a.2da.2hno2yo","di2da.2hno2yo","","","","","","fan"
72202,"a1da2hwah2tv2hi23do32ha","","ga2da1wah2tv2hi23do32ha","ha.2da2hwah2tv2hi2da","u2da2hwah2tv2hi23da32sdi","u1da2hwah2tv2hi23do32lv23i","a1da2hwah2tv2hi23do32ho3?i","he's visiting"
72203,"a1da2hya32sdi.2ha","","ga.2da1ya32sdi.2ha","ha.2da2hya1sda","u2da2hya1sdoh3di","u1da2hya32sta.2nv23?i","a1da2hya32sdi2sgo3?i","he's stretching"
72204,"a.2da2hye4sgi","","","","","","","cancer"
72205,"a1da.2hyi.3ha","","ji2ya.2da.?2yi.3ha, ga.2da.?2yi.3ha","hi2ya.2da.2yi1ga, ha2dayh2ga","u2dayh2sdi","u1da.2hyi.2lv23?i","a1da.2hyi.2ho3?i","he's denying him, it"
72206,"a1da2hyo3ne.2ha","","ga.2da1yo3ne.2ha","ha.2da2hyo2nv23la","u2da2hyo2neh3di","u1da2hyo3ne2lv23?i","a1da2hyo3ne.2ho3?i","he's committing adultery"
72207,"a.2da2hyo2neh3di","","","","","","","adultery"
72208,"a.2da2hyo2ne4hi","di2na.2da2hyo2ne4hi","","","","","","adulterer"
72209,"a1da2ja.2ga.2li.3ha","","ga.2da2ja.2ga.2li.3a","ha.2da.ja.2ga.2la","u2da2ja.2gahl2di","u1da2ja.2ga.2lv2hv23?i","a1da2ja.2ga.2li23sgo.3?i","it's ripping"
72210,"a.2da2jvy4sgi","a.2na.2da2jvy4sgi","","","","","","something that stings"
72211,"a1da2ke.3ha",,"ga.2da1ke.3ha","ha.2da2kv23la","u2da2keh3di","u1da2ke23hv3?i","a1da2ke23sgo.3?i","he's looking at himself in a mirror"
72212,"a.2da2keh3di","di2da2keh3di","","","","","","mirror"
72213,"a1da.2le2ni.3ha","","-----","-----","u2da.2lenh2di","u1da.2le2nv2hv23?i","a1da.2le2ni23sgo.3?i","it's beginning"
72214,"a1da2na2ne3sv2hv.3sga","","ga.2da2na.2ne3sv2hv.3sga","ha.2da2na.2ne1sv2hv1ga","u2da2na.2ne1sv23hv.3sdi","u1da2na.2ne3sv2hnv23?i","a1da2na.2ne1sv2hv1sgo3?i","he's shopping"
72215,"a1da2na.?3nv4?i","da1da2na.?3nv4i","","","","","","store"
72216,"a1da.2naw32sdi.3ha","","ga.2da.2naw32sdi.3ha","ha.2da.2naw1sda","u2da.2naw1sdoh3di","u1da.2naw32sta.2nv23?i","a1da.2naw32sdi23sgo.3?i","he's taking off running"
72217,"a1da.2ne23dli3yv.2?a","","ga.2da.2ne23dli3yv.3?a","ha.2da.2ne2dli3yv1na","u2da.2ne23dli3yv1sdi","u1da.2ne23dli3yv1sv23?i","a1da.2ne23dli3yv1sgo3?i","he, it's changing"
72218,"a1da.2ne23dli3yv1sdi.2ha","","ga.2da.2ne23dli3yv1sdi.2ha","ha.2da.2ne2dli2yv1sda","u2da.2ne23dli3yv1sdoh2di","u1da.2ne23dli3yv1sta.2nv23?i","a1da.2ne23dli3yv1sdi2sgo3?i","he's taking turns with him"
72219,"a.2da.2ne23dli3yv1sdi4sgi","a.2na.2da.2ne23dli3yv1sdi4sgi","","","","","","1. alternate  2. substitute"
72220,"a1da2ne2hlv4?i","da1da2ne23hlv4i","","","","","","provisions, supplies"
72221,"a1da2ne23lv4?i","da1da2ne23lv4?i","","","","","","building"
72222,"a.2danh2do","di2danh2do","","","","","","heart"
72223,"a1danh2te.3ha","","ga.2da2nv1te.3ha","ha.2danh2tv23la","u2danh2teh2di","u1danh2te23hlv3?i","a1danh2te23sgo.3?i","he's thinking"
72224,"a.2danh23teh2di","","","","","","","thought"
72225,"a1danh2te23hi3lo.2?a","","ga.2da2nv1te23hi3lo.2?a","ha.2danh2te2hi2lo23ja","u2danh2te2hi2lo1sdi","u1danh2te23hi3lo.2?v23?i","a1danh2te23hi2lo1sgo3?i","1. he's pondering it  2. he's considering"
72226,"a1da.2no2hyv2hli.2sdi.3ha","","ga.2da.2no2yv1li1sdi.3ha","ha.2da.2no2hyv2hli.2sda","u2da.2no2hyv2hli.2sdoh3di","u1da.2no2hyv2hli.2sta.2nv3?i","a1da.2no2hyv2hli.2sdi23sgo.3?i","he, it's making noise"
72227,"a1dan2si23ni","","ga.2da.2na1si23ni","ha.2dan2si2nu1ga","u2dan2si23nv32sdi","u1dan2si23nv32sv23?i","a1dan2si23ne32go32?i","he's crawling"
72228,"a1da.2nu3te2yo.3ha","","ga.2da.2nu3te2yo.3ha","ha.2da.2nu1te2ya.2ga","u2da.2nu1te23yo32di","u1da.2nu3te2yo.3lv23?i","a1da.2nu1te2yo.3ho3?i","it's twisting"
72229,"a1da.?3nv2?a","","ga.2da.?3nv.2?a","ha.2da.?2nv23na","u2da.?2nv1sdi","u1da.?3nv1sv23?i","a1da.?3nv2sgo3?i","he, it's moving from one place to another"
72230,"a1da.2nv23sga","","ga.2da.2nv3sga","ha.2da.2nv23la","u2da.2nv23sdi","u1da.2nv23sv3?i","a1da.2nv23sgo.3?i","he's ordering it"
72231,"a.2da2sdayh1di4i","di2da2sdayh1di4?i","","","","","","kitchen"
72232,"a1da2sda32yv2hv3sga","","ga.2da1sda32yv.2hv3sga","ha.2da2sda1yv2hv1ga","u2da2sdayh1di","u1da1sda32yv2hnv23?i","a1da2sda32yv2hv.2sgo3?i","she's cooking a meal"
72233,"a.da23we3hi","a.2ni2da23we3hi","","","","","","magician"
72234,"a.2da23we4hi","a.2ni2da23we4hi","","","","","","magical"
72235,"a1da.2we23la.3gi.2?a","","ga.2da.2we23la.3gi.2?a","ha.2da.2we2la.2ga","u2da.2we23la.3gi1sdi","u1da.2we23la.3gv23?i","a1da.2we23la.3gi1sgo3?i","it's burning (flames)"
72236,"a.2da.2we23la.2gi1sgi","di2da.2we23la.2gi1sgi","","","","","","flame"
72237,"a.2da.2we2la.2gi1sgi","","","","","","","gunpowder"
72238,"a1da.2we3so2lv23sdi.3ha","","ga.2da.2we3so2lv23sdi.3ha","ha.2da.2we1so23lv3sda","u2da.2we1so23lv3sdoh2di","u1da.2we3so2lv23sta.3nv23?i","a1da.2we3so2lv23sdi3sgo3?i","he's resting"
72239,"A23da.3wi","","","","","","","Adam"
72240,"a1da.2wo3?a","","ga.2da.2wo3?a","ha.2da.2wo23ja","u2da.2wo1sdi","u1da.2wo3?v23?i","a1da.2wo3sgo3?i","1. he's bathing  2. he's swimming"
72241,"a.2da.2wo1sdi4?i","di2da.2wo1sdi4?i","","","","","","swimming pool"
72242,"a.2da.2yv23la.2tv.2sgi","di2da.2yv23la.2tv.2sgi","","","","","","television"
