"Id","Bad","Poor","Good","Ranking","Votes","Text","File"
"2","0","0","5","1.0","5","chu:la.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-tsu-la.mp3"
"3","0","0","4","1.0","4","do:ya.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-do-ya.mp3"
"7","0","0","5","1.0","5","gv:he.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-gv-he.mp3"
"9","0","0","4","1.0","4","tehga.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-te-ga.mp3"
"11","0","0","4","1.0","4","u:ni:ji:ya.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-u-ni-ji-ya.mp3"
"12","0","0","4","1.0","4","e:logwa.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-e-la-qua.mp3"
"13","0","0","6","1.0","6","kanu:na.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-ka-nu-na.mp3"
"14","0","0","5","1.0","5","ji:sdu.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-tsi-s-du.mp3"
"15","0","0","4","1.0","4","u:nò:de̋:na.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-u-no-de-na.mp3"
"23","0","0","5","1.0","5","gv́:na.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-gv-na.mp3"
"24","0","0","4","1.0","4","di:li.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-di-li.mp3"
"25","0","0","4","1.0","4","de:wa.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-te-wa.mp3"
"26","0","0","5","1.0","5","sihgwa.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-si-qua.mp3"
"28","0","0","3","1.0","3","ǐ:náda.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-i-na-da.mp3"
"31","0","0","4","1.0","4","wahga.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-wa-ga.mp3"
"34","0","0","4","1.0","4","aji:lv̋:sgi.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-a-ji-lv-s-gi.mp3"
"36","0","0","4","1.0","4","uwě:ji.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-u-we-tsi.mp3"
"38","0","0","3","1.0","3","wě:sa.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-we-sa.mp3"
"40","0","0","3","1.0","3","kó:ga.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-go-ga.mp3"
"42","0","0","3","1.0","3","waló:si.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-wa-lo-si.mp3"
"43","0","0","3","1.0","3","u:gù:ku.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-u-gu-gu.mp3"
"44","0","0","2","1.0","2","ani:ji:lv̋:sgi.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-a-ni-ji-lv-s-gi.mp3"
"45","0","0","2","1.0","2","ukte:na.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-u-ga-te-na.mp3"
"47","0","0","3","1.0","3","u:naksò:jane̋:da.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-u-na-ga-so-ja-ne-da.mp3"
"50","0","0","2","1.0","2","wá:so:hla.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-wa-so-hla.mp3"
"51","0","0","2","1.0","2","wahya.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-wa-ya.mp3"
"57","0","0","2","1.0","2","salǒ:li.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-sa-lo-li.mp3"
"59","0","0","2","1.0","2","wo:yi.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-wo-yi.mp3"
"60","0","0","2","1.0","2","u:ji:ya.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-u-ji-ya.mp3"
"61","0","0","3","1.0","3","kv̌:hli.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-kv-hli.mp3"
"62","0","0","2","1.0","2","sa:sa.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-sa-sa.mp3"
"65","0","0","2","1.0","2","kiyû:ga.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-ki-yu-ga.mp3"
"69","0","0","2","1.0","2","jitǎ:ga.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-tsi-ta-ga.mp3"
"70","0","0","3","1.0","3","do:sa.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-do-sa.mp3"
"72","0","0","3","1.0","3","su:li.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-su-li.mp3"
"74","0","0","2","1.0","2","o:gana.","/phase-1-results/animals-cno-spk_1/cno-spk_1-animals-o-ga-na.mp3"
